method,family,k,dataset,auc_mean,stability_nogueira,bacc,n_feat,runtime_fs,difficulty_tier,dsk_median_auc,relative_auc
mrmr,Filter,5,Liver_GSE76427,0.9682,0.7373,0.96,5.0,,Easy,0.9671,0.0011
mrmr,Filter,5,Lung_GSE19804,0.9789,0.7506,0.9503,5.0,,Easy,0.9792,-0.0003
mrmr,Filter,5,Pancreatic_GSE16515,0.9302,0.3833,0.8642,5.0,,Medium,0.9264,0.0038
mrmr,Filter,5,Prostate_GSE6919_U95Av2,0.6935,0.059,0.6349,5.0,,Hard,0.7076,-0.0141
mrmr,Filter,5,Renal_GSE53757,0.8889,0.4953,0.8511,5.0,,Medium,0.8723,0.0166
mrmr,Filter,10,Bladder_GSE31189,0.5887,0.0712,0.5758,10.0,,Hard,0.5965,-0.0078
mrmr,Filter,10,Breast_GSE70947,0.94,0.6679,0.8836,10.0,,Medium,0.9285,0.0115
mrmr,Filter,10,Colorectal_GSE44076,0.9996,0.7123,0.9937,10.0,,Easy,0.9995,0.0001
mrmr,Filter,10,Colorectal_GSE44861,0.9185,0.6689,0.868,10.0,,Medium,0.8916,0.0269
mrmr,Filter,10,Leukemia_GSE63270,0.9992,0.7706,0.9933,10.0,,Easy,1.0,-0.0008
mrmr,Filter,10,Liver_GSE14520_U133A,0.9792,0.8176,0.9564,10.0,,Easy,0.981,-0.0018
mrmr,Filter,10,Liver_GSE76427,0.977,0.887,0.9617,10.0,,Easy,0.9696,0.0074
mrmr,Filter,10,Lung_GSE19804,0.9851,0.6723,0.9592,10.0,,Easy,0.9851,0.0
mrmr,Filter,10,Pancreatic_GSE16515,0.9326,0.3929,0.8712,10.0,,Medium,0.9307,0.0019
mrmr,Filter,10,Prostate_GSE6919_U95Av2,0.6989,0.1377,0.6477,10.0,,Hard,0.7075,-0.0086
mrmr,Filter,10,Renal_GSE53757,0.8856,0.3962,0.8527,10.0,,Medium,0.8714,0.0142
mrmr,Filter,15,Bladder_GSE31189,0.6037,0.1293,0.5781,15.0,,Hard,0.6019,0.0018
mrmr,Filter,15,Breast_GSE70947,0.9416,0.6238,0.8823,15.0,,Medium,0.9319,0.0097
mrmr,Filter,15,Colorectal_GSE44076,0.9997,0.7688,0.9948,15.0,,Easy,0.9998,-0.0001
mrmr,Filter,15,Colorectal_GSE44861,0.9102,0.6091,0.866,15.0,,Medium,0.8924,0.0178
mrmr,Filter,15,Leukemia_GSE63270,1.0,0.7995,0.9967,15.0,,Easy,1.0,0.0
mrmr,Filter,15,Liver_GSE14520_U133A,0.9822,0.7801,0.9603,15.0,,Easy,0.982,0.0002
mrmr,Filter,15,Liver_GSE76427,0.9727,0.8313,0.9597,15.0,,Easy,0.9727,0.0
mrmr,Filter,15,Lung_GSE19804,0.9884,0.6741,0.9574,15.0,,Easy,0.9872,0.0012
mrmr,Filter,15,Pancreatic_GSE16515,0.936,0.3954,0.854,15.0,,Medium,0.9281,0.0079
mrmr,Filter,15,Prostate_GSE6919_U95Av2,0.6876,0.1828,0.6436,15.0,,Hard,0.7029,-0.0153
mrmr,Filter,15,Renal_GSE53757,0.8881,0.3761,0.8555,15.0,,Medium,0.8726,0.0155
mrmr,Filter,20,Bladder_GSE31189,0.6036,0.1587,0.5662,20.0,,Hard,0.6283,-0.0247
mrmr,Filter,20,Breast_GSE70947,0.9372,0.619,0.8794,20.0,,Medium,0.9346,0.0026
mrmr,Filter,20,Colorectal_GSE44076,0.9998,0.8178,0.9948,20.0,,Easy,0.9998,0.0
mrmr,Filter,20,Colorectal_GSE44861,0.912,0.6001,0.8683,20.0,,Medium,0.896,0.016
mrmr,Filter,20,Leukemia_GSE63270,1.0,0.7739,0.9983,20.0,,Easy,1.0,0.0
mrmr,Filter,20,Liver_GSE14520_U133A,0.9818,0.8312,0.9614,20.0,,Easy,0.9822,-0.0004
mrmr,Filter,20,Liver_GSE76427,0.968,0.8189,0.9557,20.0,,Easy,0.968,0.0
mrmr,Filter,20,Lung_GSE19804,0.9924,0.7147,0.963,20.0,,Easy,0.9878,0.0046
mrmr,Filter,20,Pancreatic_GSE16515,0.934,0.4368,0.8407,20.0,,Medium,0.9281,0.0059
mrmr,Filter,20,Prostate_GSE6919_U95Av2,0.6908,0.2144,0.6278,20.0,,Hard,0.6908,0.0
mrmr,Filter,20,Renal_GSE53757,0.8817,0.3828,0.8539,20.0,,Medium,0.8707,0.011
mrmr,Filter,30,Bladder_GSE31189,0.6455,0.2021,0.6189,30.0,,Hard,0.6312,0.0143
mrmr,Filter,30,Breast_GSE70947,0.9373,0.6241,0.8767,30.0,,Medium,0.9373,0.0
mrmr,Filter,30,Colorectal_GSE44076,0.9999,0.8138,0.9948,30.0,,Easy,0.9999,0.0
mrmr,Filter,30,Colorectal_GSE44861,0.8996,0.5675,0.8543,30.0,,Medium,0.896,0.0036
mrmr,Filter,30,Leukemia_GSE63270,1.0,0.7173,0.9983,30.0,,Easy,1.0,0.0
mrmr,Filter,30,Liver_GSE14520_U133A,0.983,0.8048,0.9636,30.0,,Easy,0.9832,-0.0002
mrmr,Filter,30,Liver_GSE76427,0.9659,0.8575,0.9509,30.0,,Easy,0.9685,-0.0026
mrmr,Filter,30,Lung_GSE19804,0.9915,0.765,0.9594,30.0,,Easy,0.989,0.0025
mrmr,Filter,30,Pancreatic_GSE16515,0.9417,0.4668,0.8327,30.0,,Medium,0.9336,0.0081
mrmr,Filter,30,Prostate_GSE6919_U95Av2,0.6777,0.2611,0.638,30.0,,Hard,0.6777,0.0
mrmr,Filter,30,Renal_GSE53757,0.8832,0.4061,0.843,30.0,,Medium,0.8678,0.0154
mrmr,Filter,50,Bladder_GSE31189,0.6794,0.2557,0.6224,50.0,,Hard,0.651,0.0284
mrmr,Filter,50,Breast_GSE70947,0.9363,0.6378,0.8835,50.0,,Medium,0.9363,0.0
mrmr,Filter,50,Colorectal_GSE44076,0.9999,0.7989,0.9927,50.0,,Easy,0.9999,0.0
mrmr,Filter,50,Colorectal_GSE44861,0.8956,0.6121,0.8203,50.0,,Medium,0.8956,0.0
mrmr,Filter,50,Leukemia_GSE63270,1.0,0.7564,1.0,50.0,,Easy,1.0,0.0
mrmr,Filter,50,Liver_GSE14520_U133A,0.9824,0.8094,0.9631,50.0,,Easy,0.9824,0.0
mrmr,Filter,50,Liver_GSE76427,0.9744,0.8256,0.9426,50.0,,Easy,0.9711,0.0033
mrmr,Filter,50,Lung_GSE19804,0.9909,0.7616,0.9542,50.0,,Easy,0.9885,0.0024
mrmr,Filter,50,Pancreatic_GSE16515,0.934,0.5246,0.8439,50.0,,Medium,0.9269,0.0071
mrmr,Filter,50,Prostate_GSE6919_U95Av2,0.6874,0.3101,0.6245,50.0,,Hard,0.6722,0.0152
mrmr,Filter,50,Renal_GSE53757,0.8813,0.4323,0.8415,50.0,,Medium,0.8676,0.0137
relieff,Filter,3,Bladder_GSE31189,0.6433,0.1977,0.6075,3.0,,Hard,0.5353,0.108
relieff,Filter,3,Breast_GSE70947,0.9165,0.6133,0.8338,3.0,,Medium,0.9026,0.0139
relieff,Filter,3,Colorectal_GSE44076,0.9918,0.74,0.9823,3.0,,Easy,0.9975,-0.0057
relieff,Filter,3,Colorectal_GSE44861,0.908,0.6511,0.8602,3.0,,Medium,0.8898,0.0182
relieff,Filter,3,Leukemia_GSE63270,0.9902,0.66,0.9644,3.0,,Easy,0.9965,-0.0063
relieff,Filter,3,Liver_GSE14520_U133A,0.9714,0.8378,0.944,3.0,,Easy,0.9747,-0.0033
relieff,Filter,3,Liver_GSE76427,0.9764,0.8055,0.9491,3.0,,Easy,0.9678,0.0086
relieff,Filter,3,Lung_GSE19804,0.9924,0.6689,0.9662,3.0,,Easy,0.9788,0.0136
relieff,Filter,3,Pancreatic_GSE16515,0.9412,0.3744,0.8556,3.0,,Medium,0.8955,0.0457
relieff,Filter,3,Prostate_GSE6919_U95Av2,0.6847,0.1665,0.6362,3.0,,Hard,0.6976,-0.0129
relieff,Filter,3,Renal_GSE53757,0.8809,0.3166,0.8468,3.0,,Medium,0.8768,0.0041
relieff,Filter,5,Bladder_GSE31189,0.6814,0.2246,0.6211,5.0,,Hard,0.5564,0.125
relieff,Filter,5,Breast_GSE70947,0.9209,0.5986,0.8491,5.0,,Medium,0.914,0.0069
relieff,Filter,5,Colorectal_GSE44076,0.9944,0.594,0.9875,5.0,,Easy,0.9982,-0.0038
relieff,Filter,5,Colorectal_GSE44861,0.9091,0.6366,0.8445,5.0,,Medium,0.8876,0.0215
relieff,Filter,5,Leukemia_GSE63270,0.9943,0.6433,0.9753,5.0,,Easy,0.9988,-0.0045
relieff,Filter,5,Liver_GSE14520_U133A,0.9737,0.6499,0.9553,5.0,,Easy,0.9797,-0.006
relieff,Filter,5,Liver_GSE76427,0.9708,0.8427,0.9443,5.0,,Easy,0.9671,0.0037
relieff,Filter,5,Lung_GSE19804,0.9912,0.7753,0.9735,5.0,,Easy,0.9792,0.012
relieff,Filter,5,Pancreatic_GSE16515,0.9431,0.4886,0.8784,5.0,,Medium,0.9264,0.0167
relieff,Filter,5,Prostate_GSE6919_U95Av2,0.7254,0.2577,0.6632,5.0,,Hard,0.7076,0.0178
relieff,Filter,5,Renal_GSE53757,0.881,0.3233,0.8566,5.0,,Medium,0.8723,0.0087
relieff,Filter,10,Bladder_GSE31189,0.6639,0.1865,0.601,10.0,,Hard,0.5965,0.0674
relieff,Filter,10,Breast_GSE70947,0.9298,0.5902,0.8666,10.0,,Medium,0.9285,0.0013
relieff,Filter,10,Colorectal_GSE44076,0.9995,0.6539,0.9948,10.0,,Easy,0.9995,0.0
relieff,Filter,10,Colorectal_GSE44861,0.9044,0.6588,0.8574,10.0,,Medium,0.8916,0.0128
relieff,Filter,10,Leukemia_GSE63270,0.9988,0.6489,0.9769,10.0,,Easy,1.0,-0.0012
relieff,Filter,10,Liver_GSE14520_U133A,0.9748,0.6195,0.9581,10.0,,Easy,0.981,-0.0062
relieff,Filter,10,Liver_GSE76427,0.9751,0.85,0.9497,10.0,,Easy,0.9696,0.0055
relieff,Filter,10,Lung_GSE19804,0.99,0.7923,0.9735,10.0,,Easy,0.9851,0.0049
relieff,Filter,10,Pancreatic_GSE16515,0.951,0.6943,0.8518,10.0,,Medium,0.9307,0.0203
relieff,Filter,10,Prostate_GSE6919_U95Av2,0.7137,0.2991,0.6667,10.0,,Hard,0.7075,0.0062
relieff,Filter,10,Renal_GSE53757,0.8809,0.3275,0.8607,10.0,,Medium,0.8714,0.0095
relieff,Filter,15,Bladder_GSE31189,0.6536,0.1782,0.6093,15.0,,Hard,0.6019,0.0517
relieff,Filter,15,Breast_GSE70947,0.9349,0.6165,0.8632,15.0,,Medium,0.9319,0.003
relieff,Filter,15,Colorectal_GSE44076,0.9996,0.7526,0.9948,15.0,,Easy,0.9998,-0.0002
relieff,Filter,15,Colorectal_GSE44861,0.9069,0.7309,0.8629,15.0,,Medium,0.8924,0.0145
relieff,Filter,15,Leukemia_GSE63270,0.9996,0.7264,0.9869,15.0,,Easy,1.0,-0.0004
relieff,Filter,15,Liver_GSE14520_U133A,0.9797,0.708,0.9581,15.0,,Easy,0.982,-0.0023
relieff,Filter,15,Liver_GSE76427,0.9779,0.7835,0.9517,15.0,,Easy,0.9727,0.0052
relieff,Filter,15,Lung_GSE19804,0.9893,0.8444,0.9718,15.0,,Easy,0.9872,0.0021
relieff,Filter,15,Pancreatic_GSE16515,0.9564,0.7033,0.8623,15.0,,Medium,0.9281,0.0283
relieff,Filter,15,Prostate_GSE6919_U95Av2,0.7094,0.347,0.6471,15.0,,Hard,0.7029,0.0065
relieff,Filter,15,Renal_GSE53757,0.8764,0.3529,0.8592,15.0,,Medium,0.8726,0.0038
relieff,Filter,20,Bladder_GSE31189,0.6503,0.1975,0.6178,20.0,,Hard,0.6283,0.022
relieff,Filter,20,Breast_GSE70947,0.9378,0.6335,0.8702,20.0,,Medium,0.9346,0.0032
relieff,Filter,20,Colorectal_GSE44076,0.9997,0.7654,0.9948,20.0,,Easy,0.9998,-0.0001
relieff,Filter,20,Colorectal_GSE44861,0.9215,0.7408,0.8667,20.0,,Medium,0.896,0.0255
relieff,Filter,20,Leukemia_GSE63270,1.0,0.7753,0.9917,20.0,,Easy,1.0,0.0
relieff,Filter,20,Liver_GSE14520_U133A,0.9797,0.7605,0.9614,20.0,,Easy,0.9822,-0.0025
relieff,Filter,20,Liver_GSE76427,0.9701,0.7296,0.9497,20.0,,Easy,0.968,0.0021
relieff,Filter,20,Lung_GSE19804,0.9897,0.7998,0.9701,20.0,,Easy,0.9878,0.0019
relieff,Filter,20,Pancreatic_GSE16515,0.9433,0.6599,0.8537,20.0,,Medium,0.9281,0.0152
relieff,Filter,20,Prostate_GSE6919_U95Av2,0.7121,0.3627,0.6501,20.0,,Hard,0.6908,0.0213
relieff,Filter,20,Renal_GSE53757,0.8668,0.3596,0.8591,20.0,,Medium,0.8707,-0.0039
relieff,Filter,30,Bladder_GSE31189,0.6499,0.1953,0.6021,30.0,,Hard,0.6312,0.0187
relieff,Filter,30,Breast_GSE70947,0.9409,0.6418,0.8778,30.0,,Medium,0.9373,0.0036
relieff,Filter,30,Colorectal_GSE44076,0.9999,0.8193,0.9948,30.0,,Easy,0.9999,0.0
relieff,Filter,30,Colorectal_GSE44861,0.9222,0.7334,0.8669,30.0,,Medium,0.896,0.0262
relieff,Filter,30,Leukemia_GSE63270,1.0,0.8257,0.9933,30.0,,Easy,1.0,0.0
relieff,Filter,30,Liver_GSE14520_U133A,0.9814,0.8106,0.9625,30.0,,Easy,0.9832,-0.0018
relieff,Filter,30,Liver_GSE76427,0.971,0.7318,0.9409,30.0,,Easy,0.9685,0.0025
relieff,Filter,30,Lung_GSE19804,0.9903,0.7141,0.9595,30.0,,Easy,0.989,0.0013
relieff,Filter,30,Pancreatic_GSE16515,0.936,0.6321,0.8575,30.0,,Medium,0.9336,0.0024
relieff,Filter,30,Prostate_GSE6919_U95Av2,0.697,0.3707,0.6363,30.0,,Hard,0.6777,0.0193
relieff,Filter,30,Renal_GSE53757,0.8678,0.3611,0.8408,30.0,,Medium,0.8678,0.0
relieff,Filter,50,Bladder_GSE31189,0.6952,0.213,0.6357,50.0,,Hard,0.651,0.0442
relieff,Filter,50,Breast_GSE70947,0.949,0.6955,0.8931,50.0,,Medium,0.9363,0.0127
relieff,Filter,50,Colorectal_GSE44076,1.0,0.8349,0.9948,50.0,,Easy,0.9999,0.0001
relieff,Filter,50,Colorectal_GSE44861,0.92,0.7205,0.8603,50.0,,Medium,0.8956,0.0244
relieff,Filter,50,Leukemia_GSE63270,1.0,0.7644,0.9983,50.0,,Easy,1.0,0.0
relieff,Filter,50,Liver_GSE14520_U133A,0.9775,0.8015,0.9614,50.0,,Easy,0.9824,-0.0049
relieff,Filter,50,Liver_GSE76427,0.9718,0.8009,0.9446,50.0,,Easy,0.9711,0.0007
relieff,Filter,50,Lung_GSE19804,0.9912,0.7137,0.9541,50.0,,Easy,0.9885,0.0027
relieff,Filter,50,Pancreatic_GSE16515,0.93,0.6709,0.8537,50.0,,Medium,0.9269,0.0031
relieff,Filter,50,Prostate_GSE6919_U95Av2,0.7042,0.4013,0.6554,50.0,,Hard,0.6722,0.032
relieff,Filter,50,Renal_GSE53757,0.8616,0.3724,0.8325,50.0,,Medium,0.8676,-0.006
l1_logistic,Embedded,3,Bladder_GSE31189,0.5435,0.0977,0.553,3.0,,Hard,0.5353,0.0082
l1_logistic,Embedded,3,Breast_GSE70947,0.8762,0.1955,0.8025,3.0,,Medium,0.9026,-0.0264
l1_logistic,Embedded,3,Colorectal_GSE44076,0.9986,0.1655,0.9906,3.0,,Easy,0.9975,0.0011
l1_logistic,Embedded,3,Colorectal_GSE44861,0.9073,0.471,0.8553,3.0,,Medium,0.8898,0.0175
l1_logistic,Embedded,3,Leukemia_GSE63270,0.9971,0.4966,0.9817,3.0,,Easy,0.9965,0.0006
l1_logistic,Embedded,3,Liver_GSE14520_U133A,0.9692,0.2888,0.9547,3.0,,Easy,0.9747,-0.0055
l1_logistic,Embedded,3,Liver_GSE76427,0.9668,0.4333,0.9285,3.0,,Easy,0.9678,-0.001
l1_logistic,Embedded,3,Lung_GSE19804,0.9892,0.3355,0.9574,3.0,,Easy,0.9788,0.0104
l1_logistic,Embedded,3,Pancreatic_GSE16515,0.9324,0.3122,0.8737,3.0,,Medium,0.8955,0.0369
l1_logistic,Embedded,3,Prostate_GSE6919_U95Av2,0.6852,0.1987,0.654,3.0,,Hard,0.6976,-0.0124
l1_logistic,Embedded,3,Renal_GSE53757,0.794,0.0566,0.7547,3.0,,Medium,0.8768,-0.0828
l1_logistic,Embedded,5,Bladder_GSE31189,0.5564,0.1293,0.5276,5.0,,Hard,0.5564,0.0
l1_logistic,Embedded,5,Breast_GSE70947,0.905,0.2826,0.8415,5.0,,Medium,0.914,-0.009
l1_logistic,Embedded,5,Colorectal_GSE44076,0.9978,0.2559,0.9948,5.0,,Easy,0.9982,-0.0004
l1_logistic,Embedded,5,Colorectal_GSE44861,0.9087,0.4725,0.8569,5.0,,Medium,0.8876,0.0211
l1_logistic,Embedded,5,Leukemia_GSE63270,1.0,0.582,0.9933,5.0,,Easy,0.9988,0.0012
l1_logistic,Embedded,5,Liver_GSE14520_U133A,0.9721,0.3118,0.957,5.0,,Easy,0.9797,-0.0076
l1_logistic,Embedded,5,Liver_GSE76427,0.9671,0.3846,0.9305,5.0,,Easy,0.9671,0.0
l1_logistic,Embedded,5,Lung_GSE19804,0.9887,0.4506,0.9579,5.0,,Easy,0.9792,0.0095
l1_logistic,Embedded,5,Pancreatic_GSE16515,0.9264,0.2633,0.8489,5.0,,Medium,0.9264,0.0
l1_logistic,Embedded,5,Prostate_GSE6919_U95Av2,0.6959,0.207,0.6372,5.0,,Hard,0.7076,-0.0117
l1_logistic,Embedded,5,Renal_GSE53757,0.8249,0.0752,0.7967,5.0,,Medium,0.8723,-0.0474
l1_logistic,Embedded,10,Bladder_GSE31189,0.5965,0.1558,0.5755,10.0,,Hard,0.5965,0.0
l1_logistic,Embedded,10,Breast_GSE70947,0.9299,0.3085,0.871,10.0,,Medium,0.9285,0.0014
l1_logistic,Embedded,10,Colorectal_GSE44076,0.9995,0.3795,0.9948,10.0,,Easy,0.9995,0.0
l1_logistic,Embedded,10,Colorectal_GSE44861,0.8927,0.3937,0.8507,10.0,,Medium,0.8916,0.0011
l1_logistic,Embedded,10,Leukemia_GSE63270,1.0,0.6396,0.9983,10.0,,Easy,1.0,0.0
l1_logistic,Embedded,10,Liver_GSE14520_U133A,0.9774,0.3644,0.9615,10.0,,Easy,0.981,-0.0036
l1_logistic,Embedded,10,Liver_GSE76427,0.9649,0.4252,0.9374,10.0,,Easy,0.9696,-0.0047
l1_logistic,Embedded,10,Lung_GSE19804,0.9897,0.5222,0.9594,10.0,,Easy,0.9851,0.0046
l1_logistic,Embedded,10,Pancreatic_GSE16515,0.9307,0.5132,0.855,10.0,,Medium,0.9307,0.0
l1_logistic,Embedded,10,Prostate_GSE6919_U95Av2,0.6979,0.213,0.6267,10.0,,Hard,0.7075,-0.0096
l1_logistic,Embedded,10,Renal_GSE53757,0.8398,0.1112,0.8057,10.0,,Medium,0.8714,-0.0316
l1_logistic,Embedded,15,Bladder_GSE31189,0.5983,0.1733,0.5765,15.0,,Hard,0.6019,-0.0036
l1_logistic,Embedded,15,Breast_GSE70947,0.9323,0.3553,0.8773,15.0,,Medium,0.9319,0.0004
l1_logistic,Embedded,15,Colorectal_GSE44076,0.9995,0.4347,0.9948,15.0,,Easy,0.9998,-0.0003
l1_logistic,Embedded,15,Colorectal_GSE44861,0.8887,0.4169,0.8427,15.0,,Medium,0.8924,-0.0037
l1_logistic,Embedded,15,Leukemia_GSE63270,1.0,0.6817,1.0,15.0,,Easy,1.0,0.0
l1_logistic,Embedded,15,Liver_GSE14520_U133A,0.9826,0.4234,0.9649,15.0,,Easy,0.982,0.0006
l1_logistic,Embedded,15,Liver_GSE76427,0.9633,0.4687,0.9451,15.0,,Easy,0.9727,-0.0094
l1_logistic,Embedded,15,Lung_GSE19804,0.9905,0.517,0.9561,15.0,,Easy,0.9872,0.0033
l1_logistic,Embedded,15,Pancreatic_GSE16515,0.9288,0.6755,0.8508,15.0,,Medium,0.9281,0.0007
l1_logistic,Embedded,15,Prostate_GSE6919_U95Av2,0.6996,0.2424,0.6387,15.0,,Hard,0.7029,-0.0033
l1_logistic,Embedded,15,Renal_GSE53757,0.8485,0.1455,0.8229,15.0,,Medium,0.8726,-0.0241
l1_logistic,Embedded,20,Bladder_GSE31189,0.6056,0.2966,0.5826,20.0,,Hard,0.6283,-0.0227
l1_logistic,Embedded,20,Breast_GSE70947,0.9376,0.3753,0.8864,20.0,,Medium,0.9346,0.003
l1_logistic,Embedded,20,Colorectal_GSE44076,0.9999,0.4491,0.9948,20.0,,Easy,0.9998,0.0001
l1_logistic,Embedded,20,Colorectal_GSE44861,0.8876,0.5269,0.8445,20.0,,Medium,0.896,-0.0084
l1_logistic,Embedded,20,Leukemia_GSE63270,1.0,0.6702,1.0,20.0,,Easy,1.0,0.0
l1_logistic,Embedded,20,Liver_GSE14520_U133A,0.9852,0.4483,0.9671,20.0,,Easy,0.9822,0.003
l1_logistic,Embedded,20,Liver_GSE76427,0.967,0.4985,0.944,20.0,,Easy,0.968,-0.001
l1_logistic,Embedded,20,Lung_GSE19804,0.9902,0.5337,0.9579,20.0,,Easy,0.9878,0.0024
l1_logistic,Embedded,20,Pancreatic_GSE16515,0.9231,0.7566,0.8445,20.0,,Medium,0.9281,-0.005
l1_logistic,Embedded,20,Prostate_GSE6919_U95Av2,0.6978,0.2458,0.6256,20.0,,Hard,0.6908,0.007
l1_logistic,Embedded,20,Renal_GSE53757,0.8538,0.1765,0.817,20.0,,Medium,0.8707,-0.0169
l1_logistic,Embedded,30,Bladder_GSE31189,0.6045,0.5295,0.5711,30.0,,Hard,0.6312,-0.0267
l1_logistic,Embedded,30,Breast_GSE70947,0.9372,0.4122,0.8959,30.0,,Medium,0.9373,-0.0001
l1_logistic,Embedded,30,Colorectal_GSE44076,1.0,0.4767,0.9948,30.0,,Easy,0.9999,0.0001
l1_logistic,Embedded,30,Colorectal_GSE44861,0.8942,0.6824,0.8469,30.0,,Medium,0.896,-0.0018
l1_logistic,Embedded,30,Leukemia_GSE63270,1.0,0.7751,1.0,30.0,,Easy,1.0,0.0
l1_logistic,Embedded,30,Liver_GSE14520_U133A,0.9851,0.4692,0.9704,30.0,,Easy,0.9832,0.0019
l1_logistic,Embedded,30,Liver_GSE76427,0.9685,0.5026,0.9509,30.0,,Easy,0.9685,0.0
l1_logistic,Embedded,30,Lung_GSE19804,0.9915,0.512,0.9544,30.0,,Easy,0.989,0.0025
l1_logistic,Embedded,30,Pancreatic_GSE16515,0.9231,0.8377,0.8388,30.0,,Medium,0.9336,-0.0105
l1_logistic,Embedded,30,Prostate_GSE6919_U95Av2,0.6849,0.4074,0.624,30.0,,Hard,0.6777,0.0072
l1_logistic,Embedded,30,Renal_GSE53757,0.8558,0.2173,0.8187,30.0,,Medium,0.8678,-0.012
l1_logistic,Embedded,50,Bladder_GSE31189,0.617,0.7176,0.5907,50.0,,Hard,0.651,-0.034
l1_logistic,Embedded,50,Breast_GSE70947,0.9459,0.4361,0.9041,50.0,,Medium,0.9363,0.0096
l1_logistic,Embedded,50,Colorectal_GSE44076,1.0,0.486,0.9958,50.0,,Easy,0.9999,0.0001
l1_logistic,Embedded,50,Colorectal_GSE44861,0.8905,0.8092,0.842,50.0,,Medium,0.8956,-0.0051
l1_logistic,Embedded,50,Leukemia_GSE63270,1.0,0.865,1.0,50.0,,Easy,1.0,0.0
l1_logistic,Embedded,50,Liver_GSE14520_U133A,0.9868,0.4957,0.9721,50.0,,Easy,0.9824,0.0044
l1_logistic,Embedded,50,Liver_GSE76427,0.9708,0.6948,0.9449,50.0,,Easy,0.9711,-0.0003
l1_logistic,Embedded,50,Lung_GSE19804,0.9912,0.6899,0.9576,50.0,,Easy,0.9885,0.0027
l1_logistic,Embedded,50,Pancreatic_GSE16515,0.9181,0.9026,0.823,50.0,,Medium,0.9269,-0.0088
l1_logistic,Embedded,50,Prostate_GSE6919_U95Av2,0.6736,0.6439,0.611,50.0,,Hard,0.6722,0.0014
l1_logistic,Embedded,50,Renal_GSE53757,0.8596,0.2642,0.823,50.0,,Medium,0.8676,-0.008
elasticnet,Embedded,3,Bladder_GSE31189,0.516,0.11,0.5272,3.0,,Hard,0.5353,-0.0193
elasticnet,Embedded,3,Breast_GSE70947,0.8747,0.1899,0.8111,3.0,,Medium,0.9026,-0.0279
elasticnet,Embedded,3,Colorectal_GSE44076,0.9965,0.4889,0.9906,3.0,,Easy,0.9975,-0.001
elasticnet,Embedded,3,Colorectal_GSE44861,0.8742,0.3321,0.8243,3.0,,Medium,0.8898,-0.0156
elasticnet,Embedded,3,Leukemia_GSE63270,1.0,0.5533,0.9833,3.0,,Easy,0.9965,0.0035
elasticnet,Embedded,3,Liver_GSE14520_U133A,0.964,0.2788,0.93,3.0,,Easy,0.9747,-0.0107
elasticnet,Embedded,3,Liver_GSE76427,0.9551,0.31,0.8988,3.0,,Easy,0.9678,-0.0127
elasticnet,Embedded,3,Lung_GSE19804,0.9815,0.4855,0.938,3.0,,Easy,0.9788,0.0027
elasticnet,Embedded,3,Pancreatic_GSE16515,0.8955,0.2433,0.8144,3.0,,Medium,0.8955,0.0
elasticnet,Embedded,3,Prostate_GSE6919_U95Av2,0.6596,0.1642,0.6273,3.0,,Hard,0.6976,-0.038
elasticnet,Embedded,3,Renal_GSE53757,0.8409,0.0733,0.7984,3.0,,Medium,0.8768,-0.0359
elasticnet,Embedded,5,Bladder_GSE31189,0.559,0.1313,0.5443,5.0,,Hard,0.5564,0.0026
elasticnet,Embedded,5,Breast_GSE70947,0.9118,0.2686,0.8475,5.0,,Medium,0.914,-0.0022
elasticnet,Embedded,5,Colorectal_GSE44076,0.9966,0.5566,0.9927,5.0,,Easy,0.9982,-0.0016
elasticnet,Embedded,5,Colorectal_GSE44861,0.8778,0.3545,0.8149,5.0,,Medium,0.8876,-0.0098
elasticnet,Embedded,5,Leukemia_GSE63270,0.9996,0.5946,0.9917,5.0,,Easy,0.9988,0.0008
elasticnet,Embedded,5,Liver_GSE14520_U133A,0.9744,0.3479,0.9514,5.0,,Easy,0.9797,-0.0053
elasticnet,Embedded,5,Liver_GSE76427,0.9604,0.3366,0.919,5.0,,Easy,0.9671,-0.0067
elasticnet,Embedded,5,Lung_GSE19804,0.9842,0.51,0.9524,5.0,,Easy,0.9792,0.005
elasticnet,Embedded,5,Pancreatic_GSE16515,0.9321,0.3106,0.8579,5.0,,Medium,0.9264,0.0057
elasticnet,Embedded,5,Prostate_GSE6919_U95Av2,0.6705,0.2044,0.6028,5.0,,Hard,0.7076,-0.0371
elasticnet,Embedded,5,Renal_GSE53757,0.8572,0.1186,0.8346,5.0,,Medium,0.8723,-0.0151
elasticnet,Embedded,10,Bladder_GSE31189,0.6018,0.1842,0.5746,10.0,,Hard,0.5965,0.0053
elasticnet,Embedded,10,Breast_GSE70947,0.9356,0.3612,0.8871,10.0,,Medium,0.9285,0.0071
elasticnet,Embedded,10,Colorectal_GSE44076,0.9996,0.7069,0.9948,10.0,,Easy,0.9995,0.0001
elasticnet,Embedded,10,Colorectal_GSE44861,0.8687,0.3144,0.826,10.0,,Medium,0.8916,-0.0229
elasticnet,Embedded,10,Leukemia_GSE63270,1.0,0.7116,0.9983,10.0,,Easy,1.0,0.0
elasticnet,Embedded,10,Liver_GSE14520_U133A,0.9798,0.4077,0.957,10.0,,Easy,0.981,-0.0012
elasticnet,Embedded,10,Liver_GSE76427,0.9675,0.4165,0.9414,10.0,,Easy,0.9696,-0.0021
