method,family,k,dataset,auc_mean,stability_nogueira,bacc,n_feat,runtime_fs,difficulty_tier,dsk_median_auc,relative_auc
variance,Filter,20,Liver_GSE14520_U133A,0.9473,0.0008,0.8906,20.0,,Easy,0.9822,-0.0349
variance,Filter,20,Liver_GSE76427,0.892,0.0007,0.7923,20.0,,Easy,0.968,-0.076
variance,Filter,20,Lung_GSE19804,0.9257,0.0013,0.8467,20.0,,Easy,0.9878,-0.0621
variance,Filter,20,Pancreatic_GSE16515,0.8319,0.002,0.6844,20.0,,Medium,0.9281,-0.0962
variance,Filter,20,Prostate_GSE6919_U95Av2,0.6725,0.0008,0.6164,20.0,,Hard,0.6908,-0.0183
variance,Filter,20,Renal_GSE53757,0.8387,0.0015,0.7851,20.0,,Medium,0.8707,-0.032
variance,Filter,30,Bladder_GSE31189,0.5519,0.0006,0.5078,30.0,,Hard,0.6312,-0.0793
variance,Filter,30,Breast_GSE70947,0.8718,0.0028,0.8017,30.0,,Medium,0.9373,-0.0655
variance,Filter,30,Colorectal_GSE44076,0.9923,0.0032,0.9667,30.0,,Easy,0.9999,-0.0076
variance,Filter,30,Colorectal_GSE44861,0.8244,0.0011,0.7696,30.0,,Medium,0.896,-0.0716
variance,Filter,30,Leukemia_GSE63270,0.9659,0.0027,0.9147,30.0,,Easy,1.0,-0.0341
variance,Filter,30,Liver_GSE14520_U133A,0.9605,0.0011,0.9161,30.0,,Easy,0.9832,-0.0227
variance,Filter,30,Liver_GSE76427,0.9197,0.0006,0.8323,30.0,,Easy,0.9685,-0.0488
variance,Filter,30,Lung_GSE19804,0.9437,0.0021,0.8657,30.0,,Easy,0.989,-0.0453
variance,Filter,30,Pancreatic_GSE16515,0.8286,0.0027,0.7336,30.0,,Medium,0.9336,-0.105
variance,Filter,30,Prostate_GSE6919_U95Av2,0.6627,0.0004,0.6265,30.0,,Hard,0.6777,-0.015
variance,Filter,30,Renal_GSE53757,0.8425,0.001,0.7808,30.0,,Medium,0.8678,-0.0253
variance,Filter,50,Bladder_GSE31189,0.5289,0.0007,0.5197,50.0,,Hard,0.651,-0.1221
variance,Filter,50,Breast_GSE70947,0.8838,0.0031,0.8178,50.0,,Medium,0.9363,-0.0525
variance,Filter,50,Colorectal_GSE44076,0.9967,0.0044,0.9761,50.0,,Easy,0.9999,-0.0032
variance,Filter,50,Colorectal_GSE44861,0.8178,0.0018,0.7573,50.0,,Medium,0.8956,-0.0778
variance,Filter,50,Leukemia_GSE63270,0.9782,0.0034,0.9428,50.0,,Easy,1.0,-0.0218
variance,Filter,50,Liver_GSE14520_U133A,0.9662,0.0018,0.9246,50.0,,Easy,0.9824,-0.0162
variance,Filter,50,Liver_GSE76427,0.935,0.0014,0.8474,50.0,,Easy,0.9711,-0.0361
variance,Filter,50,Lung_GSE19804,0.9597,0.0025,0.8941,50.0,,Easy,0.9885,-0.0288
variance,Filter,50,Pancreatic_GSE16515,0.8633,0.0026,0.7123,50.0,,Medium,0.9269,-0.0636
variance,Filter,50,Prostate_GSE6919_U95Av2,0.6591,0.0002,0.6308,50.0,,Hard,0.6722,-0.0131
variance,Filter,50,Renal_GSE53757,0.8241,0.0012,0.7705,50.0,,Medium,0.8676,-0.0435
anova,Filter,3,Bladder_GSE31189,0.5227,0.1455,0.5065,3.0,,Hard,0.5353,-0.0126
anova,Filter,3,Breast_GSE70947,0.9226,0.6289,0.8656,3.0,,Medium,0.9026,0.02
anova,Filter,3,Colorectal_GSE44076,0.9977,0.4666,0.9844,3.0,,Easy,0.9975,0.0002
anova,Filter,3,Colorectal_GSE44861,0.8996,0.6655,0.8385,3.0,,Medium,0.8898,0.0098
anova,Filter,3,Leukemia_GSE63270,0.9946,0.5822,0.9672,3.0,,Easy,0.9965,-0.0019
anova,Filter,3,Liver_GSE14520_U133A,0.9773,1.0,0.9637,3.0,,Easy,0.9747,0.0026
anova,Filter,3,Liver_GSE76427,0.9722,0.7311,0.9491,3.0,,Easy,0.9678,0.0044
anova,Filter,3,Lung_GSE19804,0.9813,0.7155,0.9556,3.0,,Easy,0.9788,0.0025
anova,Filter,3,Pancreatic_GSE16515,0.9338,0.3833,0.8512,3.0,,Medium,0.8955,0.0383
anova,Filter,3,Prostate_GSE6919_U95Av2,0.7283,0.1976,0.6435,3.0,,Hard,0.6976,0.0307
anova,Filter,3,Renal_GSE53757,0.8942,0.6622,0.8607,3.0,,Medium,0.8768,0.0174
anova,Filter,5,Bladder_GSE31189,0.5211,0.1553,0.4982,5.0,,Hard,0.5564,-0.0353
anova,Filter,5,Breast_GSE70947,0.9318,0.6293,0.8669,5.0,,Medium,0.914,0.0178
anova,Filter,5,Colorectal_GSE44076,0.9982,0.574,0.9916,5.0,,Easy,0.9982,0.0
anova,Filter,5,Colorectal_GSE44861,0.8996,0.5979,0.8427,5.0,,Medium,0.8876,0.012
anova,Filter,5,Leukemia_GSE63270,0.9988,0.8427,0.9828,5.0,,Easy,0.9988,0.0
anova,Filter,5,Liver_GSE14520_U133A,0.9797,0.9206,0.9603,5.0,,Easy,0.9797,0.0
anova,Filter,5,Liver_GSE76427,0.9671,0.7413,0.9591,5.0,,Easy,0.9671,0.0
anova,Filter,5,Lung_GSE19804,0.9792,0.7746,0.9521,5.0,,Easy,0.9792,0.0
anova,Filter,5,Pancreatic_GSE16515,0.934,0.3726,0.867,5.0,,Medium,0.9264,0.0076
anova,Filter,5,Prostate_GSE6919_U95Av2,0.7372,0.2564,0.6649,5.0,,Hard,0.7076,0.0296
anova,Filter,5,Renal_GSE53757,0.8911,0.47,0.855,5.0,,Medium,0.8723,0.0188
anova,Filter,10,Bladder_GSE31189,0.5594,0.1855,0.5329,10.0,,Hard,0.5965,-0.0371
